start_bit,end_bit,entropy_bits_per_bit,p1,entropy_zscore,mi_lag1,mi_lag2,mi_lag3,mi_lag4,mi_lag5,mi_lag6,mi_lag7,mi_lag8,compression_ratio,flagged
0,8192,0.279827,0.951538,-0.110,0.237242,0.229828,0.230323,0.227921,0.224137,0.223209,0.221832,0.219534,0.041016,1
2048,10240,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
4096,12288,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
6144,14336,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
8192,16384,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
10240,18432,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
12288,20480,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
14336,22528,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
16384,24576,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
18432,26624,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
20480,28672,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
22528,30720,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
24576,32768,0.127617,0.982422,-0.616,0.124819,0.122509,0.120385,0.118381,0.116467,0.114625,0.112843,0.111112,0.021484,1
26624,34816,0.445660,0.907227,0.441,0.438596,0.432753,0.427372,0.422290,0.417433,0.412753,0.408223,0.403819,0.026367,1
28672,36864,0.570365,0.865234,0.855,0.557506,0.547091,0.537600,0.528711,0.520270,0.512186,0.504401,0.496871,0.030273,1
30720,38912,0.743271,0.789062,1.430,0.717302,0.696716,0.678170,0.660952,0.644726,0.629294,0.614524,0.600324,0.041016,1
32768,40960,0.795430,0.759766,1.603,0.759491,0.731388,0.706261,0.683074,0.661339,0.640766,0.621165,0.602400,0.050781,1
34816,43008,0.710454,0.805664,1.321,0.672049,0.642226,0.615667,0.591243,0.568418,0.546876,0.526409,0.506869,0.051758,1
36864,45056,0.737657,0.791992,1.411,0.691099,0.655339,0.623692,0.594739,0.567805,0.542493,0.518543,0.495769,0.057617,1
38912,47104,0.657526,0.830078,1.145,0.613318,0.579425,0.549466,0.522085,0.496640,0.472751,0.450171,0.428722,0.058594,1
40960,49152,0.608372,0.850586,0.981,0.569836,0.540139,0.513810,0.489688,0.467222,0.446087,0.426070,0.407019,0.051758,1
43008,51200,0.629993,0.841797,1.053,0.589521,0.558378,0.530791,0.505534,0.482025,0.459923,0.439001,0.419099,0.048828,1
45056,53248,0.585873,0.859375,0.907,0.556674,0.533848,0.513444,0.494624,0.476988,0.460304,0.444415,0.429212,0.041016,1
47104,55296,0.622881,0.844727,1.030,0.599360,0.580734,0.563965,0.548406,0.533751,0.519820,0.506493,0.493686,0.041992,1
49152,57344,0.629993,0.841797,1.053,0.606446,0.587793,0.570996,0.555410,0.540727,0.526768,0.513413,0.500578,0.044922,1
51200,59392,0.593473,0.856445,0.932,0.576220,0.562390,0.549857,0.538167,0.527108,0.516551,0.506415,0.496639,0.038086,1
53248,61440,0.538056,0.876953,0.748,0.520962,0.507292,0.494920,0.483394,0.472498,0.462107,0.452137,0.442529,0.037109,1
55296,63488,0.367089,0.929688,0.180,0.354729,0.344818,0.335834,0.327455,0.319529,0.311964,0.304701,0.297698,0.036133,1
57344,65536,0.246930,0.958984,-0.220,0.241529,0.237106,0.233052,0.229240,0.225607,0.222118,0.218748,0.215481,0.025391,1
59392,67584,0.127617,0.982422,-0.616,0.124819,0.122509,0.120385,0.118381,0.116467,0.114625,0.112843,0.111112,0.022461,1
61440,69632,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
63488,71680,0.000000,1.000000,-1.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
