start_bit,end_bit,entropy_bits_per_bit,p1,entropy_zscore,mi_lag1,mi_lag2,mi_lag3,mi_lag4,mi_lag5,mi_lag6,mi_lag7,mi_lag8,compression_ratio,flagged
0,8192,0.999989,0.498047,0.852,0.000232,0.000166,0.000007,0.000341,0.000360,0.000000,0.000002,0.000005,1.010742,0
2048,10240,0.999860,0.493042,0.852,0.000078,0.000009,0.000037,0.000001,0.000055,0.000090,0.000102,0.000006,1.010742,0
4096,12288,0.999738,0.490479,0.851,0.000001,0.000043,0.000007,0.000024,0.000000,0.000013,0.000036,0.000009,1.010742,0
6144,14336,0.999870,0.493286,0.852,0.000005,0.000000,0.000068,0.000000,0.000006,0.000042,0.000008,0.000029,1.010742,0
8192,16384,0.999845,0.492676,0.852,0.000003,0.000003,0.000152,0.000027,0.000003,0.000025,0.000046,0.000016,1.010742,0
10240,18432,0.999989,0.498047,0.852,0.000040,0.000007,0.000064,0.000145,0.000089,0.000001,0.000002,0.000004,1.010742,0
12288,20480,0.999997,0.501099,0.852,0.000015,0.000019,0.000061,0.000034,0.000009,0.000004,0.000015,0.000135,1.010742,0
14336,22528,0.999995,0.498657,0.852,0.000114,0.000004,0.000252,0.000005,0.000001,0.000083,0.000153,0.000010,1.010742,0
16384,24576,0.999983,0.502441,0.852,0.000191,0.000261,0.000070,0.000007,0.000018,0.000009,0.000209,0.000073,1.010742,0
18432,26624,0.999888,0.506226,0.852,0.000017,0.000152,0.000099,0.000004,0.000019,0.000133,0.000069,0.000098,1.010742,0
20480,28672,0.999993,0.498413,0.852,0.000002,0.000130,0.000012,0.000044,0.000001,0.000029,0.000010,0.000076,1.010742,0
22528,30720,0.999988,0.502075,0.852,0.000114,0.000107,0.000002,0.000087,0.000003,0.000000,0.000024,0.000039,1.010742,0
24576,32768,0.999944,0.504395,0.852,0.000449,0.000020,0.000103,0.000077,0.000024,0.000005,0.000005,0.000209,1.010742,0
26624,34816,0.999984,0.497681,0.852,0.000093,0.000011,0.000093,0.000016,0.000001,0.000079,0.000006,0.000275,1.010742,0
28672,36864,0.999944,0.504395,0.852,0.000335,0.000000,0.000139,0.000006,0.000034,0.000138,0.000026,0.000102,1.010742,0
30720,38912,0.999964,0.503540,0.852,0.000219,0.000001,0.000102,0.000012,0.000000,0.000075,0.000067,0.000288,1.010742,0
32768,40960,0.999996,0.498779,0.852,0.000001,0.000005,0.000064,0.000000,0.000005,0.000182,0.000190,0.000004,1.010742,0
34816,43008,0.999996,0.498779,0.852,0.000004,0.000016,0.000138,0.000135,0.000043,0.000007,0.000105,0.000004,1.010742,0
36864,45056,0.999996,0.498779,0.852,0.000128,0.000001,0.000220,0.000160,0.000001,0.000003,0.000105,0.000103,1.010742,0
38912,47104,0.999990,0.498169,0.852,0.000119,0.000083,0.000191,0.000205,0.000015,0.000099,0.000119,0.000002,1.010742,0
40960,49152,0.999969,0.503296,0.852,0.000024,0.000098,0.000158,0.000288,0.000113,0.000099,0.000195,0.000021,1.010742,0
43008,51200,0.999675,0.510620,0.851,0.000016,0.000161,0.000004,0.000000,0.000098,0.000161,0.000215,0.000000,1.010742,0
45056,53248,0.999771,0.508911,0.851,0.000018,0.000038,0.000177,0.000082,0.000092,0.000120,0.000060,0.000021,1.010742,0
47104,55296,0.999216,0.516479,0.850,0.000062,0.000101,0.000373,0.000000,0.000036,0.000020,0.000073,0.000022,1.010742,0
49152,57344,0.999451,0.513794,0.851,0.000005,0.000263,0.000173,0.000017,0.000022,0.000000,0.000013,0.000047,1.010742,0
51200,59392,0.999950,0.504150,0.852,0.000218,0.000141,0.000043,0.000000,0.000134,0.000092,0.000008,0.000031,1.010742,0
53248,61440,0.999795,0.508423,0.851,0.000018,0.000007,0.000098,0.000066,0.000143,0.000250,0.000137,0.000044,1.010742,0
55296,63488,0.999998,0.500732,0.852,0.000005,0.000372,0.000048,0.000001,0.000009,0.000600,0.000015,0.000029,1.010742,0
57344,65536,0.999973,0.503052,0.852,0.000001,0.000649,0.000003,0.000003,0.000051,0.001037,0.000022,0.000000,1.010742,0
59392,67584,0.959751,0.382446,0.764,0.027900,0.038463,0.032023,0.032478,0.033899,0.024063,0.028743,0.030384,0.803711,1
61440,69632,0.816651,0.253418,0.452,0.074734,0.087119,0.079908,0.081372,0.086477,0.066421,0.071399,0.075702,0.541016,1
63488,71680,0.553758,0.128662,-0.121,0.099471,0.106463,0.098215,0.103874,0.105286,0.089522,0.095384,0.098214,0.277344,1
65536,73728,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
67584,75776,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
69632,77824,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
71680,79872,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
73728,81920,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
75776,83968,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
77824,86016,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
79872,88064,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
81920,90112,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
